Frequency Log(Hz), Gain (dB), Phase (deg)
2.99999764447161, -54.2613805394672, 145.08112171794
3.00100118870514, -42.8811562702493, 11.4410079958699
3.00199758802927, -41.7698625460922, -135.815050673974
3.00300134704309, -39.4894516340558, -160.259054792857
3.00399798236036, -49.1813731923066, 95.0834485461171
3.00500193198058, -50.3690037321277, -26.7877774786049
3.00599877913069, -38.7043442121421, -164.830797722642
3.00699811949312, -48.2789605552357, -45.781477390978
3.00799993064288, -38.5730999949899, 40.9441893873287
3.00899943617682, -37.1687274495704, 18.665463837742
3.010001389831, -48.6095266523544, -151.993461758983
3.01100103721412, -39.0442946266115, 53.2346262319404
3.01199838891885, -34.6417861273931, 20.7292691674923
3.01299816599614, -49.4693712362252, 61.4837550121792
3.01400034647353, -40.4889541366748, 167.744201275575
3.01500021963676, -40.5850469420121, -59.3494016319136
3.01599779608566, -42.709431888636, -170.005876237934
3.01699775369609, -45.1789993417195, 54.833332537877
3.01800007079407, -46.9817545948356, 23.1517818810556
3.0190000799495, -56.0123979422767, 165.343242540471
3.01999779176651, -43.5120274428823, -145.500755301264
3.0209978413336, -42.6678877029185, 57.5609302506324
3.02200020727268, -43.9991600504554, -179.661441898296
3.02300026504452, -51.6759744493574, -68.9576904538513
3.02399802525484, -47.2649447362075, -136.202360699368
3.02499808059269, -45.4042331813249, -126.732934994679
3.02600040997323, -38.4735166730767, 30.9735881504224
3.02700043135471, -42.432452051675, -176.459245638396
3.02799815534168, -39.9102551846383, -128.455728887795
3.02899813261183, -46.1254339700659, 84.4417553946496
3.03000034237082, -60.848205634886, -145.442927770272
3.03100024468098, -29.6615416907731, 39.4431275626668
3.03199785014306, -24.0167078921432, -157.586181682212
3.03300216629104, -28.0636293372103, 15.9999475335524
3.03399967717904, -34.0267886854916, -111.161303986595
3.03499938001955, -22.8781344575673, 20.3506540733476
3.03600125444889, -19.4410110579823, 22.8007823431015
3.03700082297146, -22.121079713409, 21.9241689218922
3.03799809617741, -34.0191965119229, -116.461942572891
3.03900195814964, -24.125977728309, 22.7389708577838
3.03999907852754, -25.2824820276149, -151.338944874925
3.04099833121742, -37.8663587203246, -152.613542224519
3.04199969627974, -47.201101226878, -109.31765778988
3.04299875777672, -42.7400797709065, 168.729069604722
3.04399991227572, -43.6153109145161, -156.856118870741
3.04499876417693, -45.6805588820968, 147.289860220321
3.0459996898914, -42.6893560567978, -93.2273096863632
3.04699831405913, -44.5847597973465, -136.537326938279
3.04799899303158, -44.8677460611398, 46.1944944218567
3.0490017073597, -38.7383857527986, 61.2825679574825
3.05000211191767, -49.3671295402141, -114.713463294607
3.05100021732224, -42.4498297056043, 30.1165155160715
3.05200034005242, -48.7933090111077, 50.559110864219
3.05299816492293, -39.3886129321332, 138.589857699224
3.05399798864304, -45.2710107503532, 59.8091911483286
3.05499979217439, -36.8261068395831, -73.484939523512
3.05599929012495, -33.3535496569262, -139.763930487026
3.05700074972402, -51.8662565616298, 166.515197913127
3.05799990532327, -57.2149047907476, 45.2175154017754
3.05900100458107, -39.4901164457898, -122.954599455348
3.05999980149489, -38.7815288954835, -138.413694206719
3.06100052424864, -58.0979568996965, -47.1675754736023
3.06199894638786, -40.6028352243993, 160.53084133661
3.06299927671837, -46.4875131376067, -119.852612544184
3.06400149681115, -42.8535865931249, -118.586857201822
3.06500140940756, -44.8232291628651, -36.6315335023397
3.06599902510869, -41.6801743106849, 2.34308039825988
3.06699851421211, -43.2367274090726, -18.2521690321629
3.0679998585525, -42.7596085798452, -127.578464503534
3.06899889942276, -47.1202255307499, -69.167813865709
3.06999977851785, -40.6179486199814, -149.264500892004
3.07099835628034, -42.089034772024, -160.517308481089
3.07199875541929, -56.6362730243741, 153.709595283476
3.07300095810156, -51.8475271528754, -75.63501917292
3.07400085336755, -48.2782927655282, -165.175535995429
3.07499845181778, -50.9858185960362, 84.182701915544
3.07600191285845, -37.3451117597153, -125.381618665128
3.07699899565307, -44.0022057109679, 91.5740015519467
3.07800190595745, -38.183086165575, -164.997287266403
3.07899845922337, -36.6684956099822, -144.766665801984
3.08000080517297, -47.7021619044562, -160.410848253826
3.0810008430473, -34.9567645259956, -37.8943675376248
3.08199858345141, -36.3768070867633, -117.511181643474
3.08299804622755, -37.707035548204, 41.4775051882642
3.08399921425026, -36.3381838425623, 161.313163963647
3.08499807961303, -35.968872248053, 69.2398676810742
3.08599863458835, -45.7001315037421, 106.173670730963
3.0870008622462, -43.9245520740472, -63.5833439358991
3.08800078237289, -37.1151057624601, 156.221863507042
3.08899840556974, -33.3216595015402, -79.4694486077404
3.09000163274658, -34.1840134264859, 48.6153136109053
3.09099861170189, -33.2160253989604, 72.1620501720972
3.09200116134104, -37.1256650866955, -26.4796175777491
3.09300140196785, -37.213843739864, -121.109906604511
3.09399934419382, -38.8189559478241, 36.7833577708693
3.09499889859461, -33.2081581879739, -59.0045610345206
3.09600004880048, -32.8807627666268, 179.664903104812
3.09699889642828, -33.1643287650445, -116.469606102805
3.09799932523077, -34.014636236885, -37.1300619945
3.0990013190282, -33.1371662510919, 84.082478820901
3.10000100636998, -32.0883096033402, 172.452782569577
3.10099839785005, -32.9406691491196, 13.0419844092866
3.10200117934219, -36.6570868552116, -87.1716281977137
3.10300165075511, -32.9090685119206, 81.6140872977197
3.10399982270768, -35.7095085854608, 117.585142026119
3.10499951700131, -31.9758443644703, -165.274137091742
3.10600071788073, -35.0715619172047, 107.890614397811
3.10699961594925, -32.7558760501189, -123.228394162925
3.10800000679045, -39.7264626002913, -1.29756089655284
3.10900187483437, -41.5060212548664, -129.812479196711
3.11000143700088, -41.5290564665753, -27.5690566036434
3.11099870387992, -34.2469429721274, 66.273091144773
3.11200118662737, -33.283519478068, -152.029165912098
3.11300136067021, -30.6251249874983, -24.4177084883593
3.11399923661787, -32.303558128741, -90.2638709110579
3.11499854951553, -29.919788372978, 50.4356666611385
3.11599928420537, -33.5066266278803, -72.4990001951091
3.11700142559743, -31.8407611986694, 119.837643488135
3.1180012598551, -32.490260327922, 115.671295176373
3.11899879757696, -31.0481917524815, 33.0161135816424
3.12000141302038, -35.3955219688911, -129.135249629274
3.12100171914866, -44.1276421436008, 74.319052801328
3.12199972657543, -36.1016574062565, -136.514346712129
3.12299910236516, -39.9258345716965, -134.718493930619
3.12399983183025, -50.6666222857838, -6.91605323344402
3.12499826064999, -38.4536721153497, -90.1430563141863
3.12600166207077, -53.8948313533771, 16.5764507998392
3.12699912758843, -44.901488246779, 116.918543564785
3.12800153675175, -40.7026838071259, -106.405027511854
3.129001637549, -48.2132658787253, 103.963077967727
3.12999944058725, -41.2704900793091, 88.3119399880714
3.13099854618975, -43.6702427177867, -92.0067875054627
3.13199894012825, -43.5578393697458, 143.68991337876
3.1330006082406, -44.2782152732428, 173.451012622808
3.13399997139471, -63.825877680189, -162.39837342013
3.13500059703499, -54.4413087030521, 175.672983486788
3.13599892250672, -51.7155216528454, 160.803399700786
3.13699849889615, -40.6224996659349, 166.002481583324
3.13799931231875, -39.2535090177594, 35.9056349912528
3.13900134895547, -47.2346338949063, 67.1737310909564
3.14000107893955, -49.5594271137137, 119.832818067132
3.14099851286627, -46.7480482801514, 20.4106277958964
3.14200066126583, -31.2382558600808, -5.80749453260627
3.14300050249876, -27.2405711752378, 19.2134937882487
3.14400153106564, -28.5964718705331, -146.016026226493
3.14500025761328, -29.6132029408775, -5.46053217061404
3.14600016061067, -33.2075000510432, 7.19697809301429
3.14700122667788, -22.7826930918055, -157.732986923775
3.14799999055359, -23.359492154718, 25.0163160486103
3.14899990683696, -30.0645285928431, -165.008394585623
3.15000096231327, -34.5438515033372, -151.137371979098
3.15099971564673, -31.8948921987074, -161.301468937127
3.15199959772994, -32.0655838375135, -125.251145799809
3.15300059551184, -37.7888112416472, -175.458068662029
3.15399929141593, -35.7394993470469, 132.745018922037
3.1549990927915, -35.6479979245792, 56.7961029243988
3.15599998674957, -35.963096781252, 107.373257984153
3.15699857930677, -38.0962275409028, -13.4594313532917
3.15800162781593, -39.4919255707436, -139.073886769823
3.15899899939745, -33.6078342403759, -66.1098807033995
3.16000080153694, -38.8858023428819, 90.5806655797621
3.16100029810203, -33.1708324207722, 47.8962169047623
3.16200084214287, -41.2857997481987, 168.213906598769
3.16299908638987, -35.5382190719102, 50.5887874049136
3.16399836851511, -32.9504826994408, -155.791932396803
3.16499867610675, -34.2321195470218, -165.725302088072
3.1659999968149, -38.230351718051, 3.94561584326126
3.16699901416153, -41.2136814108342, 126.33956412172
3.1679990353348, -33.1906847263655, 115.213215412551
3.16900004814035, -36.6924794042583, -37.7009814277025
3.16999875899907, -35.6309282159824, 139.905099746668
3.17099845239999, -31.3528522321825, 54.7540328141961
3.17199911630265, -31.7204644065651, 12.6248453994992
3.17300073872762, -33.4249044964739, 130.61792319573
3.17400005640436, -36.9232284758772, 168.405791001081
3.17500032381152, -39.6033948529885, 16.9738526933869
3.17600152912163, -35.7648965491676, 147.406738140434
3.17700043160047, -50.9704098230518, 56.3472007661007
3.17800026338307, -54.3798137113335, -167.385063594879
3.17900101279226, -41.1270467019914, -9.78481192178817
3.1799994614645, -45.232736655162, -133.750047360102
3.18099881935386, -45.1139759974799, -37.5802777870611
3.18199907493188, -38.4618169335558, 6.03819127065371
3.1830002167297, -50.7599326855388, -106.721946983727
3.18399905598808, -35.2436968090187, 36.413445334272
3.18499877334143, -50.5392844286978, -107.095445995303
3.18599935746755, -44.1634014575573, -142.162900510103
3.1870007971033, -42.5617707562448, 29.9011570753518
3.18799993283098, -47.8616447174718, -0.64712534187644
3.18899991622269, -45.472249765552, -89.607120617632
3.1900007361599, -49.8567375877901, -2.86761707466994
