Frequency Log(Hz), Gain (dB), Phase (deg)
2.0000073516539, -0.662489541952816, -1.67442602191427
2.00998716023181, 0.318578121391747, 0.878315657992531
2.02002096711708, -0.233342156022161, -0.174036209925102
2.03000940159092, 0.735710513066918, -2.65711437103051
2.0399946519424, -0.557388370915931, 1.14029813414559
2.05001508903831, 0.42130719737757, 0.814369752976906
2.06002093761762, -0.0281585122239303, -1.93183196467107
2.07000804064308, -0.0140892526710253, 3.51613162634834
2.08001291617513, 0.593914949282266, 4.96367700475608
2.08998979712074, 0.0119924774810882, 2.91347799659557
2.10001257228916, 0.176111986483515, -4.57744894260569
2.1099976693892, 0.0118441747205594, -4.6639899122716
2.12001614010907, -0.901534728126162, 2.21147635308073
2.12998864632666, -0.130944282045177, 2.74753560383535
2.13998349794645, 1.27837529013115, 1.69744999964288
2.14999409007582, 0.19574808123644, -0.485628755227656
2.1600142328404, -0.847264495827186, 6.77945470834174
2.17000532186667, -0.678453493719499, -0.0370918491463807
2.17999625469437, 1.09613028821051, -5.39407528954017
2.19001327099645, -0.26255981946638, -2.00529074946314
2.19998823325188, 0.271406532396333, 3.15286888523699
2.21000864594533, -0.362608721100582, 2.96385957144495
2.22000782988254, -0.196111318076762, -3.81915489498863
2.23001066111199, 0.727735919020815, 1.73859002049449
2.24001176959216, -0.173782820899673, -3.30775749024727
2.25000614634569, -1.49532123735286, -4.02049143251933
2.25998912663599, 0.0644821667618908, -1.9980440481579
2.27000850636321, 1.45443411502473, -1.8493514323166
2.28000575955782, -0.0970951022514859, -0.661224081198246
2.2900021372979, 0.782735070675076, -6.69388712207342
2.29999258121376, -0.563069691007615, 13.4608633302188
2.30999615202367, 0.4043946023806, -0.237366330269446
2.32000684571954, -0.744651062669319, 0.393684969351695
2.3299963462566, 0.733499571296764, -3.20508315612128
2.34000533257304, 0.451533981210252, 3.9453155308026
2.35000568775964, 0.981751199738656, 1.44594188033677
2.35999286502473, -0.552197565571662, 5.66121062140123
2.37000405057532, -0.0745295948771199, -3.90000409861722
2.37999203589319, -0.206842500525628, 3.82640641575621
2.38999281126665, 0.701072091903703, -2.56833535757035
2.40000039965217, 1.54467702654878, -6.39003886356902
2.4100092122469, -0.203217560467037, -9.50345950708546
2.41999557887192, 0.495303108543314, 11.9938192043843
2.42999196190034, 0.427436229809022, -5.00545446739058
2.43999257635068, -0.282147888416128, 1.32046740098813
2.44999201661839, 0.735414816130958, 5.97548021620155
2.46000206916704, -0.241820973199263, 2.73286401009961
2.47000044167513, -0.0910749437235416, 1.88604436908642
2.47999886587532, 0.0595920149338955, -0.533679085359317
2.48999221843887, -0.338796300991697, -6.02759698241143
2.500006423036, 0.462482926419822, 1.65383562875378
2.5100049454987, -0.38942607970913, -1.92169148776969
2.51999837020646, 0.00279419764364235, -0.3335806058216
2.52999624925648, -0.0935503857788625, -0.852716491274665
2.53999316640007, 0.236840232362998, -1.5169497521625
2.5499977478629, 0.010587288095889, 2.97163436591301
2.56000435271129, 0.263745078504108, -2.37344881716902
2.56999464986763, -0.475708167511876, -2.15843329052197
2.58000291946044, 0.339693098461834, -1.07128791167723
2.58999787547579, -0.00417247156059834, -0.468533944199586
2.59999967553901, -0.0249797588699951, -1.04997259568151
2.61000273783076, -0.126205789508836, 3.96337931953573
2.62000185116562, 0.0292339845425361, -0.531661784229147
2.6300035361784, 0.00958750782996843, -0.64375537834395
2.64000249638848, -0.0181078972167244, -0.451923749787675
2.65000465884231, -0.0245271785946805, -1.01313817072864
2.66000468423665, -0.000906254833187404, -0.791518836475486
2.66999759287662, -0.103757618511626, -1.01742166800136
2.6799990296808, -0.0799539361957709, -0.910454368388518
2.69000330099514, 0.0243494872494094, -1.38823769175916
2.69999540458022, -0.0774775596209135, -0.784147930154089
2.70999943392397, 0.00705383776527821, -0.934066031326657
2.72000021619148, 0.0984670628097829, -0.582971512866218
2.7300018825476, 0.107090713982816, -1.57875997444125
2.7399992491788, -0.0352679055223707, -0.447981781460432
2.7499961159343, 0.0786501402644587, -0.38863441905493
2.7599958334343, -0.0388062917712164, -1.72689579991219
2.77000133227784, 0.0729983549740244, -0.432935124566584
2.77999904086996, -0.121078839611636, -0.00158932595947544
2.79000010376545, 0.0844679724187796, -1.53474773104049
2.79999917320597, -0.0506661364524561, -2.15670493420402
2.80999877880497, -0.528052210206876, -1.26343016113054
2.82000110940268, -0.417688809840297, -1.38590870231388
2.83000085729261, 1.03160523909898, 1.50069063867191
2.84000008860648, 0.618456772986171, -1.51588455079189
2.85000057267412, -0.850966026307685, 0.273329291034898
2.85999710288125, 0.34620174230402, 1.35751704255278
2.86999792096034, -0.0275833087940234, -1.14904871857715
2.87999761722448, 0.173383169724845, -1.62440650998008
2.88999739747899, 0.034661631257272, -1.46822963489253
2.89999824459179, 0.0190843353797909, -1.52568130438476
2.91000093508489, 0.00331393304170733, -1.36589120029542
2.92000021954807, 0.0394831159916487, -1.33827307282023
2.93000260917225, 0.0285776280097286, -1.8303265626259
2.94000277078452, 0.018284961797049, -1.53671651191847
2.95000117642429, 0.0313437718597798, -1.86912076622666
2.9599981453494, 0.055704421610042, -1.46367381293492
2.96999905738088, -0.0258190374439916, -1.67957227458124
2.97999852569613, -0.0232333571707619, -1.81635611964166
2.99000145859994, -0.0432345001849312, -1.89503734077201
2.99999764447161, 0.0564220824013125, -1.87563596613964
3.010001389831, 0.036542414581339, -1.81506488001596
3.01999779176651, 0.0405061594272117, -2.13382852008029
3.03000034237082, -0.0364779357292668, -2.11902721100885
3.03999907852754, 0.0591509625891007, -2.04458619897329
3.05000211191767, -0.04312118806368, -2.16868400668872
3.05999980149489, 0.0120404763470823, -2.22769570074903
3.06999977851785, -0.0033316294587146, -2.2323654824083
3.08000080517297, 0.0209229553202569, -2.30167890210742
3.09000163274658, -0.0370516946608452, -2.1265489126845
3.10000100636998, -0.0803380387539716, -2.36358640700534
3.11000143700088, -0.0235262536229005, -2.60257184407807
3.12000141302038, 0.0563687587686869, -2.25304204495016
3.12999944058725, -0.00147419397641998, -2.10157660516701
3.14000107893955, 0.00798279354247924, -2.42872505203642
3.15000096231327, -0.0466298022359798, -2.82493558742606
3.16000080153694, -0.0024954880456142, -2.6204711903658
3.16999875899907, 0.0997295764778337, -2.40439740452214
3.1799994614645, 0.0906591273371701, -2.44655823267249
3.1900007361599, -0.0470360804353287, -2.87486812344516
3.20000048311739, 0.004792116094373, -3.04855545694996
3.2099996678795, -0.0119956295698042, -2.5613518771324
3.21999905616802, 0.00111109051930587, -3.09224459211045
3.229999229151, 0.0561582006364306, -3.07901115348771
3.24000059788624, 0.0430696182385745, -3.06083108946279
3.25000068760748, 0.0545978764087637, -2.90663193721993
3.2599997958203, 0.0726795388582801, -3.09695502000957
3.27000068680268, -0.0060755118418116, -3.47871891680718
