Frequency,Magnitude_dB,Phase_deg
10,-212.855891449175,-89.9938943999226
10.1159111222383,-212.555591157204,-89.9938236292251
10.2331657833025,-212.255290865427,-89.9937520382164
10.3517795563018,-211.954990573849,-89.9936796173882
10.4717681948552,-211.654690282475,-89.9936063571221
10.5931476351837,-211.354389991308,-89.9935322476879
10.7159339982267,-211.054089700354,-89.9934572792428
10.8401435917833,-210.753789409619,-89.99338144183
10.9657929126781,-210.453489119106,-89.9933047253772
11.0928986489522,-210.153188828822,-89.9932271196952
11.2214776820798,-209.852888538771,-89.9931486144771
11.35154708921,-209.552588248959,-89.993069199296
11.4831241454351,-209.252287959392,-89.9929888636046
11.616226326085,-208.951987670075,-89.992907596733
11.7508713090481,-208.651687381014,-89.992825387888
11.887076977119,-208.351387092215,-89.9927422261509
12.0248614203741,-208.051086803684,-89.9926581004766
12.1642429385737,-207.750786515428,-89.9925729996921
12.3052400435926,-207.450486227453,-89.9924869124948
12.4478714618791,-207.150185939765,-89.992399827451
12.5921561369415,-206.849885652371,-89.9923117329945
12.7381132318648,-206.549585365277,-89.9922226174252
12.8857621318552,-206.249285078492,-89.9921324689072
13.0351224468151,-205.948984792022,-89.9920412754675
13.1862140139475,-205.648684505875,-89.9919490249942
13.3390569003906,-205.348384220057,-89.9918557052352
13.4936714058831,-205.048083934577,-89.9917613037963
13.6500780654601,-204.747783649443,-89.9916658081395
13.8082976521809,-204.447483364662,-89.9915692055817
13.9683511798874,-204.147183080244,-89.9914714832927
14.1302599059953,-203.846882796195,-89.9913726282934
14.2940453343176,-203.546582512526,-89.9912726274547
14.4597292179202,-203.246282229244,-89.9911714674947
14.6273335620113,-202.945981946359,-89.9910691349782
14.796880626864,-202.64568166388,-89.9909656163137
14.9683929307726,-202.345381381817,-89.9908608977526
15.1418932530435,-202.045081100178,-89.9907549653868
15.3174046370208,-201.744780818975,-89.9906478051467
15.4949503931463,-201.444480538218,-89.9905394028
15.674554102056,-201.144180257916,-89.9904297439494
15.8562396177114,-200.84387997808,-89.9903188140305
16.0400310705682,-200.543579698721,-89.9902065983102
16.2259528707809,-200.243279419851,-89.9900930818846
16.4140297114447,-199.94297914148,-89.9899782496771
16.6042865718753,-199.642678863621,-89.9898620864364
16.7967487209265,-199.342378586285,-89.9897445767342
16.9914417203463,-199.042078309484,-89.9896257049636
17.1883914281715,-198.741778033231,-89.9895054553366
17.3876240021625,-198.44147775754,-89.9893838118824
17.5891659032773,-198.141177482421,-89.9892607584449
17.7930438991858,-197.84087720789,-89.9891362786809
17.9992850678248,-197.54057693396,-89.9890103560577
18.2079168009946,-197.240276660645,-89.9888829738508
18.4189668079971,-196.939976387959,-89.9887541151421
18.6324631193156,-196.639676115916,-89.9886237628172
18.848434090338,-196.339375844533,-89.9884918995636
19.0669084051225,-196.039075573824,-89.9883585078677
19.2879150802078,-195.738775303805,-89.9882235700133
19.5114834684662,-195.438475034491,-89.9880870680786
19.7376432630026,-195.138174765901,-89.9879489839342
19.9664245010979,-194.837874498049,-89.9878092992406
20.1978575681988,-194.537574230955,-89.9876679954455
20.4319732019527,-194.237273964634,-89.9875250537817
20.6688024962908,-193.936973699106,-89.9873804552645
20.9083769055575,-193.636673434389,-89.9872341806891
21.1507282486879,-193.336373170501,-89.9870862106282
21.3958887134342,-193.036072907463,-89.9869365254291
21.6438908606402,-192.735772645293,-89.9867851052114
21.8947676285662,-192.435472384012,-89.9866319298644
22.1485523372636,-192.135172123641,-89.9864769790441
22.4052786930002,-191.834871864201,-89.9863202321707
22.6649807927369,-191.534571605714,-89.9861616684261
22.9276931286565,-191.234271348201,-89.9860012667506
23.1934505927443,-190.933971091687,-89.9858390058405
23.4622884814226,-190.633670836193,-89.9856748641452
23.7342425002387,-190.333370581744,-89.9855088198643
24.0093487686065,-190.033070328364,-89.9853408509447
24.2876438246045,-189.732770076078,-89.9851709350776
24.5691646298279,-189.432469824912,-89.9849990496958
24.853948574298,-189.132169574891,-89.9848251719703
25.142033481428,-188.831869326043,-89.9846492788076
25.4334576130465,-188.531569078394,-89.9844713468465
25.7282596744793,-188.231268831973,-89.9842913524551
26.0264788196901,-187.930968586808,-89.9841092717274
26.3281546564802,-187.630668342929,-89.9839250804805
26.6333272517498,-187.330368100366,-89.9837387542511
26.9420371368188,-187.030067859148,-89.9835502682922
27.2543253128103,-186.729767619309,-89.9833595975702
27.5702332560958,-186.429467380878,-89.9831667167612
27.8898029238044,-186.129167143891,-89.9829716002479
28.2130767593947,-185.82886690838,-89.9827742221158
28.5400976982924,-185.528566674379,-89.9825745561502
28.8709091735924,-185.228266441925,-89.9823725758325
29.2055551218275,-184.927966211052,-89.9821682543369
29.5440799888038,-184.627665981798,-89.9819615645262
