Freq.	V(out)
1.50314196609001e+02	(-1.51253621196282e+02dB,8.93732241254425e+01°)
1.50660706618673e+02	(-1.51193621095555e+02dB,8.93717813945945e+01°)
1.51008015416413e+02	(-1.51133620994362e+02dB,8.93703353329414e+01°)
1.51356124843619e+02	(-1.51073620892703e+02dB,8.93688859328159e+01°)
1.51705036745932e+02	(-1.51013620790574e+02dB,8.93674331865331e+01°)
1.52054752973248e+02	(-1.50953620687974e+02dB,8.93659770863902e+01°)
1.52405275379728e+02	(-1.50893620584900e+02dB,8.93645176246669e+01°)
1.52756605823806e+02	(-1.50833620481350e+02dB,8.93630547936248e+01°)
1.53108746168202e+02	(-1.50773620377323e+02dB,8.93615885855077e+01°)
1.53461698279928e+02	(-1.50713620272815e+02dB,8.93601189925416e+01°)
1.53815464030302e+02	(-1.50653620167825e+02dB,8.93586460069345e+01°)
1.54170045294954e+02	(-1.50593620062350e+02dB,8.93571696208763e+01°)
1.54525443953840e+02	(-1.50533619956388e+02dB,8.93556898265391e+01°)
1.54881661891247e+02	(-1.50473619849937e+02dB,8.93542066160766e+01°)
1.55238700995807e+02	(-1.50413619742995e+02dB,8.93527199816247e+01°)
1.55596563160506e+02	(-1.50353619635560e+02dB,8.93512299153010e+01°)
1.55955250282694e+02	(-1.50293619527628e+02dB,8.93497364092050e+01°)
1.56314764264094e+02	(-1.50233619419198e+02dB,8.93482394554177e+01°)
1.56675107010813e+02	(-1.50173619310268e+02dB,8.93467390460021e+01°)
1.57036280433354e+02	(-1.50113619200835e+02dB,8.93452351730027e+01°)
1.57398286446620e+02	(-1.50053619090896e+02dB,8.93437278284458e+01°)
1.57761126969933e+02	(-1.49993618980450e+02dB,8.93422170043391e+01°)
1.58124803927037e+02	(-1.49933618869495e+02dB,8.93407026926720e+01°)
1.58489319246110e+02	(-1.49873618758027e+02dB,8.93391848854154e+01°)
1.58854674859776e+02	(-1.49813618646045e+02dB,8.93376635745216e+01°)
1.59220872705115e+02	(-1.49753618533546e+02dB,8.93361387519242e+01°)
1.59587914723672e+02	(-1.49693618420527e+02dB,8.93346104095385e+01°)
1.59955802861465e+02	(-1.49633618306987e+02dB,8.93330785392608e+01°)
1.60324539069002e+02	(-1.49573618192923e+02dB,8.93315431329689e+01°)
1.60694125301286e+02	(-1.49513618078332e+02dB,8.93300041825218e+01°)
1.61064563517825e+02	(-1.49453617963213e+02dB,8.93284616797597e+01°)
1.61435855682647e+02	(-1.49393617847562e+02dB,8.93269156165040e+01°)
1.61808003764305e+02	(-1.49333617731377e+02dB,8.93253659845571e+01°)
1.62181009735891e+02	(-1.49273617614656e+02dB,8.93238127757026e+01°)
1.62554875575047e+02	(-1.49213617497396e+02dB,8.93222559817051e+01°)
1.62929603263970e+02	(-1.49153617379595e+02dB,8.93206955943102e+01°)
1.63305194789432e+02	(-1.49093617261250e+02dB,8.93191316052443e+01°)
1.63681652142779e+02	(-1.49033617142358e+02dB,8.93175640062150e+01°)
1.64058977319952e+02	(-1.48973617022919e+02dB,8.93159927889104e+01°)
1.64437172321491e+02	(-1.48913616902927e+02dB,8.93144179449998e+01°)
1.64816239152549e+02	(-1.48853616782382e+02dB,8.93128394661328e+01°)
1.65196179822900e+02	(-1.48793616661281e+02dB,8.93112573439402e+01°)
1.65576996346951e+02	(-1.48733616539620e+02dB,8.93096715700333e+01°)
1.65958690743754e+02	(-1.48673616417398e+02dB,8.93080821360038e+01°)
1.66341265037015e+02	(-1.48613616294612e+02dB,8.93064890334243e+01°)
1.66724721255104e+02	(-1.48553616171258e+02dB,8.93048922538479e+01°)
1.67109061431069e+02	(-1.48493616047336e+02dB,8.93032917888080e+01°)
1.67494287602642e+02	(-1.48433615922842e+02dB,8.93016876298188e+01°)
1.67880401812254e+02	(-1.48373615797772e+02dB,8.93000797683745e+01°)
1.68267406107045e+02	(-1.48313615672126e+02dB,8.92984681959500e+01°)
1.68655302538872e+02	(-1.48253615545900e+02dB,8.92968529040004e+01°)
1.69044093164324e+02	(-1.48193615419091e+02dB,8.92952338839610e+01°)
1.69433780044731e+02	(-1.48133615291696e+02dB,8.92936111272475e+01°)
1.69824365246172e+02	(-1.48073615163714e+02dB,8.92919846252556e+01°)
1.70215850839493e+02	(-1.48013615035141e+02dB,8.92903543693613e+01°)
1.70608238900310e+02	(-1.47953614905974e+02dB,8.92887203509205e+01°)
1.71001531509027e+02	(-1.47893614776212e+02dB,8.92870825612695e+01°)
1.71395730750840e+02	(-1.47833614645850e+02dB,8.92854409917242e+01°)
1.71790838715757e+02	(-1.47773614514886e+02dB,8.92837956335806e+01°)
1.72186857498599e+02	(-1.47713614383318e+02dB,8.92821464781148e+01°)
1.72583789199018e+02	(-1.47653614251143e+02dB,8.92804935165824e+01°)
1.72981635921508e+02	(-1.47593614118357e+02dB,8.92788367402192e+01°)
1.73380399775412e+02	(-1.47533613984959e+02dB,8.92771761402404e+01°)
1.73780082874935e+02	(-1.47473613850945e+02dB,8.92755117078413e+01°)
1.74180687339159e+02	(-1.47413613716312e+02dB,8.92738434341966e+01°)
1.74582215292048e+02	(-1.47353613581058e+02dB,8.92721713104608e+01°)
1.74984668862463e+02	(-1.47293613445180e+02dB,8.92704953277677e+01°)
1.75388050184174e+02	(-1.47233613308674e+02dB,8.92688154772311e+01°)
1.75792361395867e+02	(-1.47173613171539e+02dB,8.92671317499438e+01°)
1.76197604641161e+02	(-1.47113613033770e+02dB,8.92654441369784e+01°)
1.76603782068614e+02	(-1.47053612895365e+02dB,8.92637526293868e+01°)
1.77010895831740e+02	(-1.46993612756322e+02dB,8.92620572182000e+01°)
1.77418948089014e+02	(-1.46933612616637e+02dB,8.92603578944288e+01°)
1.77827941003890e+02	(-1.46873612476307e+02dB,8.92586546490627e+01°)
1.78237876744807e+02	(-1.46813612335329e+02dB,8.92569474730709e+01°)
1.78648757485203e+02	(-1.46753612193700e+02dB,8.92552363574013e+01°)
1.79060585403527e+02	(-1.46693612051418e+02dB,8.92535212929813e+01°)
1.79473362683250e+02	(-1.46633611908479e+02dB,8.92518022707171e+01°)
1.79887091512876e+02	(-1.46573611764880e+02dB,8.92500792814940e+01°)
1.80301774085954e+02	(-1.46513611620619e+02dB,8.92483523161764e+01°)
1.80717412601090e+02	(-1.46453611475691e+02dB,8.92466213656073e+01°)
1.81134009261958e+02	(-1.46393611330095e+02dB,8.92448864206088e+01°)
1.81551566277311e+02	(-1.46333611183826e+02dB,8.92431474719818e+01°)
1.81970085860996e+02	(-1.46273611036882e+02dB,8.92414045105060e+01°)
1.82389570231961e+02	(-1.46213610889260e+02dB,8.92396575269396e+01°)
1.82810021614272e+02	(-1.46153610740957e+02dB,8.92379065120197e+01°)
1.83231442237119e+02	(-1.46093610591969e+02dB,8.92361514564620e+01°)
1.83653834334832e+02	(-1.46033610442294e+02dB,8.92343923509606e+01°)
1.84077200146893e+02	(-1.45973610291927e+02dB,8.92326291861884e+01°)
1.84501541917945e+02	(-1.45913610140867e+02dB,8.92308619527964e+01°)
1.84926861897805e+02	(-1.45853609989109e+02dB,8.92290906414145e+01°)
1.85353162341478e+02	(-1.45793609836651e+02dB,8.92273152426504e+01°)
1.85780445509167e+02	(-1.45733609683489e+02dB,8.92255357470908e+01°)
1.86208713666284e+02	(-1.45673609529620e+02dB,8.92237521453000e+01°)
1.86637969083464e+02	(-1.45613609375041e+02dB,8.92219644278210e+01°)
1.87068214036577e+02	(-1.45553609219748e+02dB,8.92201725851747e+01°)
1.87499450806739e+02	(-1.45493609063738e+02dB,8.92183766078604e+01°)
1.87931681680324e+02	(-1.45433608907009e+02dB,8.92165764863551e+01°)
1.88364908948977e+02	(-1.45373608749556e+02dB,8.92147722111142e+01°)
1.88799134909627e+02	(-1.45313608591376e+02dB,8.92129637725709e+01°)
1.89234361864495e+02	(-1.45253608432466e+02dB,8.92111511611362e+01°)
1.89670592121112e+02	(-1.45193608272822e+02dB,8.92093343671992e+01°)
1.90107827992327e+02	(-1.45133608112442e+02dB,8.92075133811267e+01°)
1.90546071796322e+02	(-1.45073607951321e+02dB,8.92056881932633e+01°)
1.90985325856621e+02	(-1.45013607789457e+02dB,8.92038587939312e+01°)
1.91425592502106e+02	(-1.44953607626845e+02dB,8.92020251734305e+01°)
1.91866874067026e+02	(-1.44893607463483e+02dB,8.92001873220387e+01°)
1.92309172891013e+02	(-1.44833607299367e+02dB,8.91983452300110e+01°)
1.92752491319091e+02	(-1.44773607134494e+02dB,8.91964988875800e+01°)
1.93196831701689e+02	(-1.44713606968859e+02dB,8.91946482849559e+01°)
1.93642196394658e+02	(-1.44653606802460e+02dB,8.91927934123261e+01°)
1.94088587759275e+02	(-1.44593606635292e+02dB,8.91909342598556e+01°)
1.94536008162263e+02	(-1.44533606467353e+02dB,8.91890708176865e+01°)
1.94984459975802e+02	(-1.44473606298639e+02dB,8.91872030759383e+01°)
1.95433945577536e+02	(-1.44413606129146e+02dB,8.91853310247076e+01°)
1.95884467350596e+02	(-1.44353605958871e+02dB,8.91834546540682e+01°)
1.96336027683602e+02	(-1.44293605787810e+02dB,8.91815739540710e+01°)
1.96788628970681e+02	(-1.44233605615959e+02dB,8.91796889147438e+01°)
1.97242273611482e+02	(-1.44173605443315e+02dB,8.91777995260916e+01°)
1.97696964011183e+02	(-1.44113605269875e+02dB,8.91759057780962e+01°)
1.98152702580507e+02	(-1.44053605095633e+02dB,8.91740076607163e+01°)
1.98609491735734e+02	(-1.43993604920587e+02dB,8.91721051638875e+01°)
1.99067333898716e+02	(-1.43933604744734e+02dB,8.91701982775221e+01°)
1.99526231496885e+02	(-1.43873604568068e+02dB,8.91682869915091e+01°)
1.99986186963271e+02	(-1.43813604390587e+02dB,8.91663712957143e+01°)
2.00447202736513e+02	(-1.43753604212287e+02dB,8.91644511799800e+01°)
2.00909281260870e+02	(-1.43693604033164e+02dB,8.91625266341250e+01°)
2.01372424986236e+02	(-1.43633603853215e+02dB,8.91605976479448e+01°)
2.01836636368153e+02	(-1.43573603672434e+02dB,8.91586642112111e+01°)
2.02301917867824e+02	(-1.43513603490819e+02dB,8.91567263136723e+01°)
2.02768271952125e+02	(-1.43453603308366e+02dB,8.91547839450529e+01°)
2.03235701093619e+02	(-1.43393603125071e+02dB,8.91528370950538e+01°)
2.03704207770569e+02	(-1.43333602940929e+02dB,8.91508857533520e+01°)
2.04173794466950e+02	(-1.43273602755938e+02dB,8.91489299096009e+01°)
2.04644463672464e+02	(-1.43213602570092e+02dB,8.91469695534299e+01°)
2.05116217882553e+02	(-1.43153602383389e+02dB,8.91450046744445e+01°)
2.05589059598411e+02	(-1.43093602195824e+02dB,8.91430352622261e+01°)
2.06062991326997e+02	(-1.43033602007394e+02dB,8.91410613063322e+01°)
2.06538015581050e+02	(-1.42973601818093e+02dB,8.91390827962962e+01°)
2.07014134879101e+02	(-1.42913601627919e+02dB,8.91370997216273e+01°)
2.07491351745488e+02	(-1.42853601436867e+02dB,8.91351120718104e+01°)
2.07969668710366e+02	(-1.42793601244933e+02dB,8.91331198363062e+01°)
2.08449088309726e+02	(-1.42733601052113e+02dB,8.91311230045513e+01°)
2.08929613085401e+02	(-1.42673600858403e+02dB,8.91291215659577e+01°)
2.09411245585086e+02	(-1.42613600663799e+02dB,8.91271155099128e+01°)
2.09893988362349e+02	(-1.42553600468297e+02dB,8.91251048257800e+01°)
2.10377843976644e+02	(-1.42493600271893e+02dB,8.91230895028976e+01°)
2.10862814993325e+02	(-1.42433600074582e+02dB,8.91210695305798e+01°)
2.11348903983661e+02	(-1.42373599876360e+02dB,8.91190448981158e+01°)
2.11836113524847e+02	(-1.42313599677223e+02dB,8.91170155947702e+01°)
2.12324446200018e+02	(-1.42253599477167e+02dB,8.91149816097829e+01°)
2.12813904598268e+02	(-1.42193599276187e+02dB,8.91129429323688e+01°)
2.13304491314654e+02	(-1.42133599074280e+02dB,8.91108995517181e+01°)
2.13796208950220e+02	(-1.42073598871441e+02dB,8.91088514569959e+01°)
2.14289060112002e+02	(-1.42013598667665e+02dB,8.91067986373424e+01°)
2.14783047413050e+02	(-1.41953598462950e+02dB,8.91047410818727e+01°)
2.15278173472434e+02	(-1.41893598257289e+02dB,8.91026787796769e+01°)
2.15774440915263e+02	(-1.41833598050678e+02dB,8.91006117198196e+01°)
2.16271852372698e+02	(-1.41773597843115e+02dB,8.90985398913406e+01°)
2.16770410481966e+02	(-1.41713597634593e+02dB,8.90964632832541e+01°)
2.17270117886371e+02	(-1.41653597425108e+02dB,8.90943818845491e+01°)
2.17770977235312e+02	(-1.41593597214657e+02dB,8.90922956841891e+01°)
2.18272991184296e+02	(-1.41533597003234e+02dB,8.90902046711122e+01°)
2.18776162394951e+02	(-1.41473596790835e+02dB,8.90881088342309e+01°)
2.19280493535041e+02	(-1.41413596577456e+02dB,8.90860081624323e+01°)
2.19785987278479e+02	(-1.41353596363092e+02dB,8.90839026445776e+01°)
2.20292646305342e+02	(-1.41293596147739e+02dB,8.90817922695025e+01°)
2.20800473301886e+02	(-1.41233595931391e+02dB,8.90796770260169e+01°)
2.21309470960560e+02	(-1.41173595714045e+02dB,8.90775569029047e+01°)
2.21819641980018e+02	(-1.41113595495696e+02dB,8.90754318889243e+01°)
2.22330989065136e+02	(-1.41053595276339e+02dB,8.90733019728077e+01°)
2.22843514927026e+02	(-1.40993595055969e+02dB,8.90711671432612e+01°)
2.23357222283049e+02	(-1.40933594834582e+02dB,8.90690273889651e+01°)
2.23872113856830e+02	(-1.40873594612174e+02dB,8.90668826985733e+01°)
2.24388192378273e+02	(-1.40813594388738e+02dB,8.90647330607137e+01°)
2.24905460583574e+02	(-1.40753594164272e+02dB,8.90625784639881e+01°)
2.25423921215239e+02	(-1.40693593938769e+02dB,8.90604188969716e+01°)
2.25943577022094e+02	(-1.40633593712225e+02dB,8.90582543482133e+01°)
2.26464430759302e+02	(-1.40573593484636e+02dB,8.90560848062358e+01°)
2.26986485188378e+02	(-1.40513593255996e+02dB,8.90539102595351e+01°)
2.27509743077203e+02	(-1.40453593026301e+02dB,8.90517306965807e+01°)
