Freq.	V(out)
1.10407861990207e+02	(-1.60066323470497e+02dB,8.95172861610457e+01°)
1.10662378397766e+02	(-1.60006323448113e+02dB,8.95161763055624e+01°)
1.10917481526240e+02	(-1.59946323425625e+02dB,8.95150638848754e+01°)
1.11173172728159e+02	(-1.59886323403034e+02dB,8.95139488930868e+01°)
1.11429453359173e+02	(-1.59826323380338e+02dB,8.95128313242847e+01°)
1.11686324778056e+02	(-1.59766323357537e+02dB,8.95117111725439e+01°)
1.11943788346715e+02	(-1.59706323334632e+02dB,8.95105884319253e+01°)
1.12201845430196e+02	(-1.59646323311620e+02dB,8.95094630964760e+01°)
1.12460497396692e+02	(-1.59586323288502e+02dB,8.95083351602295e+01°)
1.12719745617551e+02	(-1.59526323265277e+02dB,8.95072046172055e+01°)
1.12979591467279e+02	(-1.59466323241946e+02dB,8.95060714614098e+01°)
1.13240036323555e+02	(-1.59406323218506e+02dB,8.95049356868345e+01°)
1.13501081567231e+02	(-1.59346323194958e+02dB,8.95037972874575e+01°)
1.13762728582343e+02	(-1.59286323171302e+02dB,8.95026562572431e+01°)
1.14024978756116e+02	(-1.59226323147536e+02dB,8.95015125901415e+01°)
1.14287833478977e+02	(-1.59166323123661e+02dB,8.95003662800890e+01°)
1.14551294144553e+02	(-1.59106323099675e+02dB,8.94992173210078e+01°)
1.14815362149688e+02	(-1.59046323075579e+02dB,8.94980657068061e+01°)
1.15080038894443e+02	(-1.58986323051371e+02dB,8.94969114313780e+01°)
1.15345325782109e+02	(-1.58926323027052e+02dB,8.94957544886036e+01°)
1.15611224219209e+02	(-1.58866323002621e+02dB,8.94945948723486e+01°)
1.15877735615512e+02	(-1.58806322978076e+02dB,8.94934325764647e+01°)
1.16144861384034e+02	(-1.58746322953418e+02dB,8.94922675947895e+01°)
1.16412602941049e+02	(-1.58686322928647e+02dB,8.94910999211461e+01°)
1.16680961706096e+02	(-1.58626322903761e+02dB,8.94899295493436e+01°)
1.16949939101987e+02	(-1.58566322878760e+02dB,8.94887564731766e+01°)
1.17219536554813e+02	(-1.58506322853644e+02dB,8.94875806864254e+01°)
1.17489755493952e+02	(-1.58446322828412e+02dB,8.94864021828559e+01°)
1.17760597352080e+02	(-1.58386322803063e+02dB,8.94852209562197e+01°)
1.18032063565172e+02	(-1.58326322777598e+02dB,8.94840370002539e+01°)
1.18304155572516e+02	(-1.58266322752014e+02dB,8.94828503086811e+01°)
1.18576874816716e+02	(-1.58206322726313e+02dB,8.94816608752094e+01°)
